"""Darwin Theory is bullshit,but Elon Musk ambition is inspirational.""",1
"""Meet Elon Musk -  A Living Legend https://t.co/ifArHwolZH https://t.co/6k4I10GyDO""",1
"""#929 Things We Can All Learn From Elon Musk https://t.co/8dLUtj9wFK https://t.co/YBwMr5U2Gb""",1
"""Meet Elon Musk -  A Living Legend https://t.co/jB2zOOEPEa https://t.co/bcJ2O4OQmH""",1
"""Forget the stock. Tesla's bonds are imploding
https://t.co/JuOXWuQzSy
via #CNNMoneyStream""",1
"""Elon Musk: Tesla Model 3 is selling better than Ford Model T https://t.co/PWspmbpLRC https://t.co/rwqip5Gm77""",1
"""RT @TheHyyyype: it's 2018. we have supercomputers in our phones, elon musk is sending cars to neptune, and artificial intelligence can run…""",0
"""RT @CryptoAmb: Cardano [ADA]’s Charles Hoskinson: “Unlike Elon Musk I need to go through a lot to get something approved”
https://t.co/gqLC…""",0
"""I liked a @YouTube video https://t.co/zWOvXt6la2 Talking Tech with Elon Musk!""",1
"""@ezraklein @elonmusk Seriously, what “impossible problem” has Elon Musk solved?""",1
"""#Tesla shares bounce as Musk risk seen as overblown https://t.co/luFGdfaKIt""",1
"""@Choleeco @elonmusk I like Elon Musk way more after being on JRE! Seems like a cool, down to earth guy that’s tryin… https://t.co/eplz0TTY9m""",1
"""📣 Elon Musk Can't Stop Baselessly Calling Hero Cave Rescuer A Pedophile https://t.co/DG4xiq0N8X  

🗞️ First Publish… https://t.co/Si1hVcyGmX""",0
"""Tesla workers speak out: 'Anything pro-union is shut down really fast' https://t.co/QSjEWjjYwD""",0
"""@CaseyNeistat Only a matter of time for Tesla, if Elon Musk keeps going off the rails""",0
"""RT @techworkersco: A current Tesla employee:

“For a brief period of time, when the movement was gaining traction, pro-union employees were…""",1
"""RT Elon Musk #EMHiveMind #Tesla #SpaceX #Startups https://t.co/7MhoqP9YgG""",0
"""@AliceAvizandum Preventing the prevention of any of the numerous attempts on Carnegie. You'd never see Elon Musk or… https://t.co/qSCkq33Zob""",1
"""RT @wholean: Elon musk should make a cologne and call it Elon’s musk 😂""",0
"""If you haven’t seen the Elon musk interview.. you have to""",0
"""RT @JREpodcast: Watch Elon Musk Smoke a Blunt With Joe Rogan - SPIN https://t.co/WbAP139y8S https://t.co/KX5X2F3ao7""",1
"""Just saw some documentary about how Elon musk is the Antichrist....Facebook is weird""",1
"""Joe Rogan's podcast with Elon Musk was like a person having a deep convo with Alexa or Siri""",1
"""RT @theRealKiyosaki: Article: ""Short sellers pocket $510 million off Elon Musk's pot-smoking interview"" 
 https://t.co/r0sAeyqQ71  #financi…""",0
"""'Anything pro-union is shut down really fast': Tesla workers speak out https://t.co/qvbszzCAo5""",0
"""Suzy Welch: Elon Musk thinks he's a prophet and has forgotten he's a leader https://t.co/rJk0QgtQzp""",1
"""RT @iamdevloper: Ironically, Elon Musk smoking weed on Joe Rogan's podcast produced more toxic emissions than his entire fleet of Tesla's.""",1
"""RT @News24: This drawing liked by Elon Musk reveals just how crazy SpaceX's first missions to Mars will be | @BISouthAfrica 

https://t.co/…""",0
"""I liked a @YouTube video https://t.co/R0vUbO5PMV 15 Things You Didn't Know About Elon Musk""",1
"""When Elon Musk said that flying cars are not a good idea, My fantasy of living in a world with flying cars was immediately shattered""",1
"""RT @PrisonPlanet: The fact that this has nearly 10 million views in a few days illustrates how most people love Elon Musk’s insightful and…""",0
"""RT @ggreenwald: The reaction to Elon Musk &amp; weed is so childish. It's also a good time to recall that Steve Jobs (along with other key Sili…""",0
"""ELON MUSK SMOKES WEED https://t.co/BYftbZkKgD""",1
"""Meet Elon Musk -  A Living Legend https://t.co/dI6iDmi74P https://t.co/OyOMMkjMP7""",1
"""Elon Musk Elevates a Little-Known Fixer to Steer Tesla Past Drama https://t.co/XhYMJzRk6u""",0
"""@zerohedge Bit of an Elon Musk moment.  Spoilt rich brat""",0
"""bro elon musk literally does whatever the fuck he wants. he gives no shits. how.""",0
"""RT @DEMONMAMI: I’m sorry to say this but I think Elon musk is attractive. please punish me now""",0
"""RT @__Sun__: I CANT BELIEVE ELON MUSK AND KANYE DID THIS! https://t.co/IhzbUebpMW via @YouTube""",0
"""RT @MajorManiak: highly recommend watching the joe rogan x elon musk podcast""",0
"""RT @world_edit525: @eIounosk Thank you Elon Musk!""",0
"""@eIounosk Thank you Elon Musk!""",1
"""highly recommend watching the joe rogan x elon musk podcast""",1
"""I'm the Elon Musk of looking cool while smoking weed.""",1
"""@cafe_ARMY @BTS_twt I am taking him to MARS. I am asking Elon Musk to make it happen. He deserve a planet.""",0
"""I liked a @YouTube video https://t.co/Q9JcLVnnU6 Elon Musk Smokes Weed On Joe Rogan's Podcast""",0
"""The people freaking out about that one tiny hit Elon Musk took during his interview with Joe Rogan are the people w… https://t.co/WrUlOpxXk1""",0
"""RT @Some_BlackGuy: It’s difficult to frown and raise your eyebrows simultaneously. Elon Musk is truly gifted. https://t.co/s2mwy9B18O""",1
"""RT @VIAwesome: There's a Vancouver connection to @elonmusk smoking weed with @joerogan https://t.co/ZzSDBFoYXL https://t.co/SCRzfpf1SI""",1
"""RT @somelittlellama: So, in this video, Elon Musk pretty much says the same Alex Jones does, but he expresses himself better.

https://t.co…""",1
"""@Choleeco @elonmusk This is now a mandatory GIF for every tweet Elon Musk makes""",1
"""@elonmusk Hey elon musk, you are the BOSS comme dirait SSuperZouloux the IOP hybride""",1
"""I liked a @YouTube video https://t.co/TSlyPMVlXR Elon Musk King Of Sarcasm""",0
"""RT @LordAstinus: Tesla Stock Is Soaring After Elon Musk Promised an ‘Amazing Quarter’ 

https://t.co/dTdC7DLn8T

Kallo: “Gigafactory 1 crea…""",0
